Name,Age,Best,Average,Solve 1,Solve 2,Solve 3,Link,Comment
Jae Park,40+,51.80,DNF,51.80,DNF,DNF,https://www.facebook.com/events/2608037409484307/permalink/2609676329320415,
Thierry Boisivon,40+,1:28.68,1:44.25,1:28.68,1:56.91,1:47.15,https://www.facebook.com/100000570103102/videos/pcb.2612241145730600/3460923623936607,
Chris Hardwick,<40,2:03.36,2:14.12,2:10.49,2:03.36,2:28.51,https://www.facebook.com/events/2608037409484307/permalink/2610947279193320,
Andy Nicholls,40+,2:11.83,DNF,DNF,3:37.41,2:11.83,https://www.facebook.com/events/2608037409484307/permalink/2611313482490033,
Peter Andersson,50+,2:29.63,DNF,2:31.65,DNF,2:29.63,https://www.facebook.com/events/2608037409484307/permalink/2612070462414335,
Anthony Rochester,40+,DNF,DNF,DNF,DNF,DNF,https://www.facebook.com/events/2608037409484307/permalink/2610882279199820,
