Name,Age,Best,Average,Solve 1,Solve 2,Solve 3,Link,Comment
Chris Hardwick,<40,7:05.06,DNF,7:05.06,DNS,DNS,https://www.facebook.com/events/2608037409484307?view=permalink&id=2610938702527511,
Peter Andersson,50+,10:23.86,DNF,DNF,10:23.86,DNF,https://www.facebook.com/events/2608037409484307?view=permalink&id=2612310882390293,
Andy Nicholls,40+,10:52.00,DNF,10:52.00,DNF,13:31.00,https://www.facebook.com/events/2608037409484307?view=permalink&id=2609949869293061,first time corrected from cstimer to timemarks on phone due to laptop screen turning off mid-solve and locking me out
Jae Park,40+,DNF,DNF,DNF,DNF,DNF,,
