Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,10.45,10.95,10.48,11.97,14.93,10.45,11.13,https://www.facebook.com/events/264199631979561/permalink/272114027854788,
Shawn Boucké,<40,2016BOUC01,16.41,15.36,16.26,11.22,14.77,11.22,15.46,https://www.facebook.com/events/256148192722702/permalink/257856055885249,
Ed Connell,<40,2018CONN04,17.86,15.89,14.25,17.44,15.86,14.25,16.40,https://www.facebook.com/events/264199631979561/permalink/267575708308620,
Grzegorz Pacewicz,40+,,16.96,15.41,16.73,16.22,16.61,15.41,16.52,https://www.facebook.com/events/264199631979561/permalink/271962437869947,
Pete Lee,<40,2018LEEP04,19.38,14.74,15.95,20.37,17.10,14.74,17.48,https://www.facebook.com/events/264199631979561/permalink/268053711594153,
Geoff Hartnell,40+,2017HART06,19.45,18.01,16.69,21.50,15.16,15.16,18.05,https://www.facebook.com/events/264199631979561/permalink/265968548469336,
Christoph Woittequand,40+,2005WOIT01,20.03,14.77,18.49,17.52,DNF,14.77,18.68,https://www.facebook.com/798047139/videos/10159182287182140,
Aaron Cumes,40+,2018CUME02,21.33,23.80,16.04,20.63,19.57,16.04,20.51,https://www.facebook.com/events/264199631979561/permalink/267466934986164,
Yi-Wei Chen,40+,2020CHEN34,21.12,22.11,20.67,DNF,19.59,19.59,21.30,https://www.facebook.com/events/264199631979561/permalink/266697058396485,what happened to my timer?!
Vani Muthukrishnan,40+,2016MUTH05,23.67,22.39,22.46,22.78,20.76,20.76,22.54,https://www.facebook.com/events/264199631979561/permalink/269085951490929,
Huy Nguyen,40+,2019NGUY29,21.95,25.66,24.49,26.48,30.24,21.95,25.54,https://www.facebook.com/events/264199631979561/permalink/272260027840188,
Lisa Kucala,50+,2019KUCA01,27.45,25.72,30.53,38.07,24.89,24.89,27.90,https://www.facebook.com/events/264199631979561/permalink/269709964761861,
Daniel Smith,50+,2018SMIT42,28.50,28.21,22.75,28.32,27.54,22.75,28.02,https://www.facebook.com/events/264199631979561/permalink/272355064497351,
Jae Park,50+,2015PARK24,33.53,36.43,38.80,27.68,24.34,24.34,32.55,https://www.facebook.com/events/264199631979561/permalink/265478515185006,
