Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Chris Looney,<40,2022LOON02,4:23.85,3:47.49,4:23.13,3:47.49,4:11.49,https://www.facebook.com/chris.looney/videos/617834969755179,
Ed Connell,<40,2018CONN04,5:16.76,6:11.20,DNS,5:16.76,DNF,https://www.facebook.com/events/542579854309231/permalink/546620110571872,
Dan Smith,50+,2018SMIT42,6:43.81,6:19.66,DNS,6:19.66,DNF,https://www.facebook.com/events/542579854309231/permalink/549844846916065,
