Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Ed Connell,<40,2018CONN04,17.06,13.61,17.12,16.48,23.60,13.61,16.89,https://www.facebook.com/events/1012592279358180/permalink/1016360932314648,
Toby Chamberlain,40+,,20.17,16.19,14.98,18.73,18.94,14.98,17.95,https://www.facebook.com/520891933/videos/938686506789692,
Rodney Gardner,50+,2019GARD02,17.33,22.02,20.59,17.25,22.96,17.25,19.98,https://www.facebook.com/events/1012592279358180/permalink/1019525571998184,
Pete Lee,<40,2018LEEP04,19.93,20.24,18.86,19.80,27.37,18.86,19.99,https://www.facebook.com/events/1012592279358180/permalink/1020065001944241,
Chris Looney,<40,,21.00,19.64,23.89,22.89,38.13,19.64,22.59,https://www.facebook.com/chris.looney/videos/326495192748566,
Dan Smith,50+,2018SMIT42,28.58,34.26,25.58,29.61,25.71,25.58,27.97,https://www.facebook.com/events/1012592279358180/permalink/1020784621872279,
Martin Melcop,60+,,34.34,32.42,32.22,27.17,DNF,27.17,32.99,https://www.facebook.com/100000468058820/videos/477191333990323,The solve 5 is DNF
Mickey Doyle,40+,2021DOYL02,34.68,39.72,29.71,55.57,27.17,27.17,34.70,https://www.facebook.com/events/1012592279358180/permalink/1020648181885923,
Peter Douthwright,60+,2007DOUT01,44.06,52.81,41.55,40.15,36.86,36.86,41.92,https://www.facebook.com/622712395/videos/pcb.1016259075658167/226475329620012,
Eric Dodson,40+,2021DODS01,37.58,1:07.29,45.54,38.65,49.94,37.58,44.71,https://www.facebook.com/events/1012592279358180/permalink/1020784188538989,
