Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,24.01,34.41,19.78,24.69,25.98,19.78,24.89,https://www.facebook.com/745394767/videos/613334854747392,
Toby Chamberlain,50+,2022CHAM03,1:03.85,47.59,37.32,1:18.78,59.89,37.32,57.11,https://www.facebook.com/events/1147070173669130/permalink/1153117319731082,
Gordon Holey,40+,2021HOLE01,52.39,1:19.34,1:06.03,DNS,DNS,52.39,1:05.92,https://www.facebook.com/766997877/videos/661233499901007,
Lisa Kucala,60+,2019KUCA01,1:03.52,1:16.29,1:00.54,DNS,DNS,1:00.54,1:06.78,https://www.facebook.com/events/1147070173669130/permalink/1155677646141716,
