Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,4.72,3.69,4.57,4.31,4.33,3.69,4.40,https://www.facebook.com/events/1202263490156156/permalink/1206036753112163,
Shawn Boucké,<40,2016BOUC01,4.98,5.98,5.54,5.13,5.09,4.98,5.25,https://www.facebook.com/events/1202263490156156/permalink/1203772996671872,
Grzegorz Pacewicz,40+,,6.90,5.67,6.98,5.12,5.27,5.12,5.95,https://www.facebook.com/events/1202263490156156/permalink/1205936063122232,
Fumiki Koseki,40+,2005KOSE01,7.13,5.40,8.17,7.66,5.68,5.40,6.82,https://www.facebook.com/events/1202263490156156/permalink/1207955902920248,
Anthony Rochester,40+,2019ROCH03,6.16,9.77,6.99,6.88,6.81,6.16,6.89,https://www.facebook.com/events/1202263490156156/permalink/1205563366492835,
Wojciech Poljanowski,50+,2010POLJ01,7.56,7.21,9.83,8.04,6.85,6.85,7.60,https://www.facebook.com/events/1202263490156156/permalink/1204016496647522,
Aaron Cumes,40+,2018CUME02,6.99,7.69,9.08,7.95,9.70,6.99,8.24,https://www.facebook.com/events/1202263490156156/permalink/1203009516748220,
Lisa Kucala,50+,2019KUCA01,8.74,9.09,15.62,9.19,8.92,8.74,9.07,https://www.facebook.com/events/1202263490156156/permalink/1207909299591575,
Daniel Smith,50+,2018SMIT42,8.43,7.69,11.16,8.39,14.07,7.69,9.32,https://www.facebook.com/events/1202263490156156/permalink/1207148723000966,
Marcel Balzer,40+,,9.87,11.30,12.64,11.53,14.40,9.87,11.82,https://www.facebook.com/marcel.balzer.9216/videos/10160463723727516,
Jan Adams-Fielding,40+,,15.40,12.74,13.10,23.69,15.36,12.74,14.62,https://www.facebook.com/events/1202263490156156/permalink/1207825516266620,
