Name,Age,WCA ID,Solve 1 6,Solve 2 6,Solve 3 6,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,4:20.99,3:59.58,4:15.05,3:59.58,4:11.87,https://www.facebook.com/events/903843585313978/permalink/911651911199812,
Konsta Jukka,40+,2008JUKK01,5:10.80,4:44.75,4:54.11,4:44.75,4:56.55,https://www.facebook.com/events/903843585313978/permalink/912892217742448,
Lisa Kucala,60+,2019KUCA01,8:11.01,DNS,DNS,8:11.01,DNF,https://www.facebook.com/events/903843585313978/permalink/910952017936468,
Michael Orger,50+,2024ORGE01,9:09.35,8:43.95,DNS,8:43.95,DNF,https://www.facebook.com/events/903843585313978/permalink/907893478242322,
