Name,Age,WCA ID,Solve 1 15,Solve 2 15,Solve 3 15,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,7:10.20,DNF,6:51.10,6:51.10,DNF,https://www.facebook.com/events/2094546651362398/permalink/2104098117073918,
Fred Johnson,<40,2006JOHN01,37:02.35,DNS,DNS,37:02.35,DNF,https://www.facebook.com/frederick.g.johnson/videos/1785214395477184,First 4BLD success!
