Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,1:00.12,53.57,48.91,57.38,1:06.22,48.91,57.03,https://www.facebook.com/events/375269430142971/permalink/376445496692031,
Enrymar Cisneros,<40,2013CISN01,57.34,55.43,1:06.81,58.07,1:11.35,55.43,1:00.74,https://www.facebook.com/events/375269430142971/permalink/379975593005688,
Pete Lee,<40,2018LEEP04,1:09.61,57.70,1:04.91,1:10.98,1:08.12,57.70,1:07.54,https://www.facebook.com/events/375269430142971/permalink/378769293126318,
Geoff Hartnell,40+,2017HART06,1:12.46,1:20.02,1:09.32,1:10.37,1:06.61,1:06.61,1:10.72,https://www.facebook.com/events/375269430142971/permalink/378056619864252,
Ed Connell,<40,2018CONN04,1:44.32,1:12.88,1:00.48,1:11.68,1:17.38,1:00.48,1:13.98,https://www.facebook.com/events/375269430142971/permalink/380104542992793,
Jason Green,40+,2016GREE02,1:18.40,1:12.65,1:16.37,1:06.29,1:15.39,1:06.29,1:14.80,https://www.facebook.com/jasongreenbowler/videos/10163944613835425,
Aaron Cumes,40+,2018CUME02,1:46.36,1:26.02,1:14.48,1:07.10,1:03.19,1:03.19,1:15.86,https://www.facebook.com/events/375269430142971/permalink/376616833341564,
Anthony Rochester,40+,2019ROCH03,1:30.00,1:24.86,1:24.85,1:16.13,1:25.87,1:16.13,1:25.19,https://www.facebook.com/events/375269430142971/permalink/376264610043453,PB (for SCW) average and single - at least 1 was a misscramble though
Daniel Smith,50+,2018SMIT42,1:20.91,1:34.65,1:38.07,1:30.41,1:40.41,1:20.91,1:34.37,https://www.facebook.com/events/375269430142971/permalink/379899466346634,
Joshua Riegel,<30,2019RIEG02,1:40.10,1:42.61,1:34.03,DNS,DNS,1:34.03,1:38.91,https://www.facebook.com/events/375269430142971/permalink/380392532963994,Double Parity on all 3 solves!
Jan Adams-Fielding,40+,,1:56.69,2:01.03,1:55.63,DNS,DNS,1:55.63,1:57.78,https://www.facebook.com/events/375269430142971/permalink/380513562951891,
Jae Park,40+,2015PARK24,2:59.45,DNF,DNS,DNS,DNS,2:59.45,DNF,https://www.facebook.com/events/375269430142971/permalink/378816483121599,
