Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,1:24.95,1:38.64,1:31.08,1:44.10,1:28.52,1:24.95,1:32.75,https://www.facebook.com/events/568276315811932/permalink/574032005236363,
Glyn Brown,40+,2023BROW47,1:48.43,1:57.65,1:51.65,1:43.79,1:45.97,1:43.79,1:48.68,https://www.facebook.com/events/568276315811932/permalink/570796508893246,
Pete Lee,40+,2018LEEP04,1:49.11,1:39.55,1:50.19,1:47.72,1:49.73,1:39.55,1:48.85,https://www.facebook.com/events/568276315811932/permalink/576728731633357,
Shen Flindell,50+,2023FLIN02,1:44.02,1:58.44,1:51.54,2:03.33,1:41.41,1:41.41,1:51.33,https://www.facebook.com/745394767/videos/1100968217704352,
Lisa Kucala,60+,2019KUCA01,2:58.46,3:25.44,3:46.30,DNS,DNS,2:58.46,3:23.40,https://www.facebook.com/events/568276315811932/permalink/577110324928531,
