Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Michael George,40+,2015GEOR02,13.79,17.48,13.25,15.25,16.97,13.25,15.34,https://www.facebook.com/michael.george.545/videos/10214012108737124,Two dodgy solves!
Geoff Hartnell,40+,2017HART06,18.64,17.64,19.16,16.94,15.96,15.96,17.74,https://www.facebook.com/events/1842039515939197/permalink/1845810235562125,
Ed Connell,<40,2018CONN04,18.09,16.49,17.83,18.44,19.06,16.49,18.12,https://www.facebook.com/events/1842039515939197/permalink/1845901792219636,
Rob Peters,40+,2016PETE06,16.75,16.38,20.44,17.85,21.06,16.38,18.35,https://www.facebook.com/667027593/videos/10158586361642594,
Thierry Boisivon,40+,2011BOIS01,19.81,20.49,17.83,20.91,17.49,17.49,19.38,https://www.facebook.com/events/1842039515939197/permalink/1846994255443723,
Pete Lee,<40,2018LEEP04,19.20,33.95,18.90,21.90,17.71,17.71,20.00,https://www.facebook.com/events/1842039515939197/permalink/1846897262120089,
Andy Nicholls,40+,2015NICH04,17.17,20.35,19.75,20.55,20.33,17.17,20.14,https://www.facebook.com/events/1842039515939197/permalink/1847690102040805,
Aaron Cumes,40+,2018CUME02,20.42,20.71,22.47,19.68,22.34,19.68,21.15,https://www.facebook.com/events/1842039515939197/permalink/1842262065916942,
Huy Nguyen,40+,2019NGUY29,18.50,22.44,27.04,24.31,24.83,18.50,23.86,https://www.facebook.com/events/1842039515939197/permalink/1847910868685395,
Yi-Wei Chen,40+,,23.75,24.10,DNS,26.13,22.04,22.04,24.66,https://www.facebook.com/events/1842039515939197/permalink/1847830355360113,2nd competition not bad but still panic and get a DNF
Daniel Smith,50+,2018SMIT42,30.70,26.27,28.24,25.27,25.49,25.27,26.66,https://www.facebook.com/events/1842039515939197/permalink/1847128298763652,
Matthew Hart,<40,2019HART11,32.71,25.30,23.73,38.36,24.05,23.73,27.35,https://www.facebook.com/events/1842039515939197/permalink/1845098538966628,Awful performance! XD
Peter Andersson,50+,2013ANDE01,23.72,28.32,29.43,27.41,27.38,23.72,27.70,https://www.facebook.com/events/1842039515939197/permalink/1847869318689550,
Jan Adams-Fielding,40+,,30.70,22.23,28.56,28.38,26.42,22.23,27.78,https://www.facebook.com/events/1842039515939197/permalink/1848086755334473,
Lisa Kucala,50+,2019KUCA01,29.83,29.28,28.39,33.14,28.01,28.01,29.17,https://www.facebook.com/events/1842039515939197/permalink/1847046672105148,
Joffie Berkowitz,50+,2016BERK01,28.47,37.51,27.30,26.33,33.34,26.33,29.70,https://www.facebook.com/joffie.berkowitz/videos/10163954374465128,
Scott Knight,<30,,41.17,29.36,32.35,30.92,29.79,29.36,31.02,https://www.facebook.com/500490144/videos/10164156092775145,First comp style solves not my best ao5 but good practice :)
Chris Thames,<40,2019THAM05,27.26,38.61,32.84,28.04,41.55,27.26,33.16,https://www.facebook.com/events/1842039515939197/permalink/1845109382298877,
Marcel Balzer,40+,,33.41,35.67,41.98,51.18,41.38,33.41,39.68,https://www.facebook.com/marcel.balzer.9216/videos/10160240293712516,
