Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,16.73,14.00,15.12,14.73,14.66,14.00,14.84,https://www.facebook.com/events/231087383363053/permalink/236896219448836,
Ed Connell,<40,2018CONN04,21.27,15.97,16.06,14.93,16.00,14.93,16.01,https://www.facebook.com/events/231087383363053/permalink/239613572510434,
Toby Chamberlain,50+,2022CHAM03,15.97,15.61,16.27,16.08,18.67,15.61,16.11,https://www.facebook.com/events/231087383363053/permalink/237332369405221,
Mickey Doyle,50+,2021DOYL02,28.07,24.13,21.85,25.18,23.20,21.85,24.17,https://www.facebook.com/events/231087383363053/permalink/238472072624584,
Dan Smith,50+,2018SMIT42,25.59,23.39,22.74,25.86,30.55,22.74,24.95,https://www.facebook.com/events/231087383363053/permalink/239153005889824,
Lisa Kucala,50+,2019KUCA01,30.30,31.45,27.32,23.68,24.11,23.68,27.24,https://www.facebook.com/events/231087383363053/permalink/239636859174772,
Kristina Lim,50+,2022LIMK02,46.23,39.02,37.32,37.86,44.01,37.32,40.30,https://www.facebook.com/1045330593/videos/1366860367554474,
Joe Kucala,60+,2022KUCA01,43.81,40.02,1:00.31,40.87,1:09.04,40.02,48.33,https://www.facebook.com/events/231087383363053/permalink/233062556498869,
