Name,Age,Average,Best,Solve 1,Solve 2,Solve 3,Link,Comment
Andy Nicholls,40+,5:26.63,5:09.07,5:46.04,5:24.78,5:09.07,https://www.facebook.com/events/276138643524223/permalink/276775160127238/,
Geoff Hartnell,40+,6:03.94,6:02.05,6:02.05,6:03.91,6:05.87,https://www.facebook.com/events/276138643524223/permalink/276382340166520/,
Pete Lee,<40,DNF,9:20.70,9:20.70,9:30.53,DNS,https://www.facebook.com/events/276138643524223/permalink/276380270166727/,
Aaron Cumes,40+,DNF,9:46.67,DNF,9:46.67,DNS,https://www.facebook.com/events/276138643524223/permalink/276285016842919/,
Donna Leiber,60+,DNF,16:49.48,16:49.48,18:14.63,DNS,https://www.facebook.com/events/276138643524223/permalink/278590303279057/,
