Name,Age,Average,Best,Solve 1,Solve 2,Solve 3,Link,Comment
Andy Nicholls,40+,3:43.17,3:38.62,3:51.05,3:38.62,3:39.84,https://www.facebook.com/events/276138643524223?view=permalink&id=276777570126997,
Geoff Hartnell,40+,4:39.94,4:05.61,5:00.57,4:05.61,4:53.65,https://www.facebook.com/events/276138643524223?view=permalink&id=276877166783704,
Aaron Cumes,40+,DNF,5:21.00,6:36.31,5:21.00,DNS,https://www.facebook.com/events/276138643524223?view=permalink&id=276787300126024,
Pete Lee,<40,DNF,5:32.99,5:32.99,5:35.76,DNS,https://www.facebook.com/events/276138643524223?view=permalink&id=276961166775304,Two fastest ever solves.
Daniel Smith,50+,DNF,6:15.67,6:15.67,6:25.37,DNS,https://www.facebook.com/events/276138643524223?view=permalink&id=279838476487573,Last solve 6:16.43 but did not make the cutoff
Donna Leiber,60+,DNF,13:00.60,13:00.60,DNF,DNS,https://www.facebook.com/events/276138643524223?view=permalink&id=278590013279086,
