Name,Age,WCA ID,Attempted,Solved,Time,Link,Comment
Shen Flindell,50+,2023FLIN02,12,10,50:24,https://www.facebook.com/events/636386589532561/permalink/642461988925021,
Toby Chamberlain,50+,2022CHAM03,9,7,39:20,https://www.facebook.com/events/636386589532561/permalink/643089368862283,
