Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,1:02.00,52.92,1:05.93,54.11,49.13,49.13,56.34,https://www.facebook.com/events/4223726381008841/permalink/4267613246620154,
Enrymar Cisneros,<40,2013CISN01,56.08,50.48,54.13,1:05.40,1:03.63,50.48,57.95,https://www.facebook.com/events/4223726381008841/permalink/4268914799823332,
Shawn Boucké,<40,2016BOUC01,1:09.14,1:08.79,53.27,50.47,55.88,50.47,59.31,https://www.facebook.com/events/4223726381008841/permalink/4239773282737484,
Geoff Hartnell,40+,2017HART06,58.57,59.75,1:08.45,1:16.98,1:11.23,58.57,1:06.48,https://www.facebook.com/events/4223726381008841/permalink/4267291453319000,
Pete Lee,<40,2018LEEP04,1:05.55,1:15.83,1:10.00,1:11.54,1:13.82,1:05.55,1:11.79,https://www.facebook.com/events/4223726381008841/permalink/4246258928755586,
Yi-Wei Chen,40+,,1:17.37,1:13.04,1:13.06,1:21.88,1:49.95,1:13.04,1:17.44,https://www.facebook.com/events/4223726381008841/permalink/4243083292406483,
Daniel Smith,50+,2018SMIT42,1:21.16,1:15.30,1:31.04,1:26.72,1:13.52,1:13.52,1:21.06,https://www.facebook.com/events/4223726381008841/permalink/4258792300835582,
JM Tambaoan,40+,,1:24.00,1:22.85,1:43.55,1:08.84,1:17.74,1:08.84,1:21.53,https://www.facebook.com/events/4223726381008841/permalink/4268124539902358,PB solve 1:08.84
Mickey Doyle,40+,,1:45.19,1:49.00,2:03.73,DNS,DNS,1:45.19,1:52.64,https://www.facebook.com/events/4223726381008841/permalink/4268369963211149,
Chris Thames,<40,2019THAM05,1:58.01,1:44.85,2:01.45,DNS,DNS,1:44.85,1:54.77,https://www.facebook.com/events/4223726381008841/permalink/4243043372410475,
