Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,1:49.95,1:48.29,1:49.45,1:40.02,1:28.38,1:28.38,1:45.92,https://www.facebook.com/events/4223726381008841/permalink/4267613246620154,
Enrymar Cisneros,<40,2013CISN01,1:43.59,1:56.93,1:55.87,1:33.32,1:45.34,1:33.32,1:48.27,https://www.facebook.com/events/4223726381008841/permalink/4268740933174052,
Geoff Hartnell,40+,2017HART06,1:55.35,2:07.78,2:05.49,1:54.00,1:54.61,1:54.00,1:58.48,https://www.facebook.com/events/4223726381008841/permalink/4267252946656184,
Pete Lee,<40,2018LEEP04,2:08.76,1:53.19,2:02.18,2:20.58,2:03.20,1:53.19,2:04.71,https://www.facebook.com/events/4223726381008841/permalink/4246264712088341,
JM Tambaoan,40+,,2:29.16,2:33.26,2:33.89,2:57.59,2:32.75,2:29.16,2:33.30,https://www.facebook.com/events/4223726381008841/permalink/4268131413235004,PB Solve 2:29.16
Yi-Wei Chen,40+,,2:18.75,2:37.41,2:54.52,2:28.14,2:44.37,2:18.75,2:36.64,https://www.facebook.com/events/4223726381008841/permalink/4243086232406189,
Chris Thames,<40,2019THAM05,4:44.83,4:42.09,DNS,DNS,DNS,4:42.09,DNF,https://www.facebook.com/events/4223726381008841/permalink/4243243919057087,
