Name,Age,WCA ID,Solve 1 13,Solve 2 13,Solve 3 13,Best,Average,Link,Comment
Fred Johnson,<40,2006JOHN01,31,25,30,25,28.67,https://www.facebook.com/events/979390218483789/permalink/982052274884250,
Shen Flindell,50+,2023FLIN02,32,32,38,32,34.00,https://www.facebook.com/events/979390218483789/permalink/988924600863684,
Pete Lee,40+,2018LEEP04,59,61,65,59,61.67,https://www.facebook.com/events/979390218483789/permalink/989417394147738,
Richard Taylor,50+,2015TAYL04,33,DNS,DNS,33,DNF,https://www.facebook.com/events/979390218483789/permalink/988246590931485,
