Name,Age,WCA ID,Solve 1 6,Solve 2 6,Solve 3 6,Best,Average,Link,Comment
Fred Johnson,<40,2006JOHN01,4:41.81,4:34.26,4:32.17,4:32.17,4:36.08,https://www.facebook.com/frederick.g.johnson/videos/1358845179206806,
Shen Flindell,50+,2023FLIN02,4:46.51,5:18.56,4:24.48,4:24.48,4:49.85,https://www.facebook.com/events/1022844740615113/permalink/1030433986522855,
Brad Deegan,40+,2023DEEG01,7:43.64,8:32.37,DNS,7:43.64,DNF,https://www.facebook.com/events/1022844740615113/permalink/1034159596150294,
Danielle Kay,40+,2023KAYD01,8:23.71,7:54.59,DNS,7:54.59,DNF,https://www.facebook.com/events/1022844740615113/permalink/1033327702900150,
