Name,Age,WCA ID,Solve 1 7,Solve 2 7,Solve 3 7,Solve 4 5,Solve 5 5,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,25.39,24.60,28.35,27.75,21.18,21.18,25.91,https://www.facebook.com/events/28113537501603643/permalink/28152385641052162,
Fred Johnson,<40,2006JOHN01,37.10,28.00,37.58,33.55,38.96,28.00,36.08,https://www.facebook.com/frederick.g.johnson/videos/4505299916465389,
Danielle Kay,40+,2023KAYD01,32.72,40.65,35.59,41.41,44.71,32.72,39.21,https://www.facebook.com/events/28113537501603643/permalink/28157561033867956,
Toby Chamberlain,50+,2022CHAM03,47.07,52.92,38.27,38.60,1:32.02,38.27,46.20,https://www.facebook.com/events/28113537501603643/permalink/28204663675824358,
Brad Deegan,40+,2023DEEG01,50.31,46.43,55.34,DNS,DNS,46.43,50.69,https://www.facebook.com/events/28113537501603643/permalink/28281129754844416,
