Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,13.39,12.44,15.06,12.78,16.69,12.44,13.74,https://www.facebook.com/events/1541409726309933/permalink/1551852288599010,
Daniel Houghton,40+,2016HOUG03,17.61,19.16,16.20,13.36,14.27,13.36,16.03,https://www.facebook.com/events/1541409726309933/permalink/1549818012135771,
Chris Looney,<40,2022LOON02,16.75,16.39,19.27,16.36,17.37,16.36,16.83,https://www.facebook.com/chris.looney/videos/468799915324942,
Ed Connell,<40,2018CONN04,15.07,23.20,16.84,17.00,19.97,15.07,17.94,https://www.facebook.com/events/1541409726309933/permalink/1551767681940804,
Toby Chamberlain,40+,2022CHAM03,17.55,19.78,19.10,16.58,19.63,16.58,18.76,https://www.facebook.com/520891933/videos/5444383485670962,
Glyn Brown,40+,,19.91,19.45,20.71,18.54,19.04,18.54,19.47,https://www.facebook.com/events/1541409726309933/permalink/1551612668622972,
Yi-Wei Chen,40+,,25.89,17.11,22.48,18.52,19.52,17.11,20.17,https://www.facebook.com/events/1541409726309933/permalink/1550306992086873,
Dan Smith,50+,2018SMIT42,50.47,22.49,25.97,20.84,21.68,20.84,23.38,https://www.facebook.com/events/1541409726309933/permalink/1551577495293156,
Mickey Doyle,40+,2021DOYL02,29.11,31.04,29.33,29.60,32.95,29.11,29.99,https://www.facebook.com/events/1541409726309933/permalink/1551770991940473,
Christopher Iglesias,<30,,44.11,32.19,38.52,27.08,36.00,27.08,35.57,https://www.facebook.com/events/1541409726309933/permalink/1551950198589219,
