Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,10.01,11.23,10.33,9.33,10.42,9.33,10.25,https://www.facebook.com/events/992549044856331/permalink/1001991827245386,
Shawn Boucké,<40,2016BOUC01,13.47,15.14,11.39,11.35,12.45,11.35,12.44,https://www.facebook.com/events/992549044856331/permalink/1001745273936708,
Enrymar Cisneros,<40,2013CISN01,14.51,12.62,13.06,14.52,13.93,12.62,13.83,https://www.facebook.com/events/992549044856331/permalink/1001262283985007,
Chris Hardwick,<40,2003HARD01,15.09,14.86,13.68,17.68,14.07,13.68,14.67,https://www.facebook.com/events/992549044856331/permalink/995569207887648,"Felt very shaky hands, and this is slower than my global average lately :\"
Geoff Hartnell,40+,2017HART06,14.89,18.75,15.14,17.62,18.03,14.89,16.93,https://www.facebook.com/events/992549044856331/permalink/1000527980725104,
JM Tambaoan,40+,,21.24,16.30,16.09,18.86,19.15,16.09,18.10,https://www.facebook.com/events/799005364067137/permalink/814919962475677,
Ed Connell,<40,2018CONN04,19.25,17.10,16.51,18.32,34.41,16.51,18.22,https://www.facebook.com/events/992549044856331/permalink/1001031517341417,
Pete Lee,<40,2018LEEP04,19.84,19.64,19.56,18.36,15.94,15.94,19.19,https://www.facebook.com/events/992549044856331/permalink/1001761647268404,
Rodney Gardner,50+,2019GARD02,20.36,21.00,19.71,22.31,19.51,19.51,20.36,https://www.facebook.com/events/992549044856331/permalink/1001234557321113,
Toby Chamberlain,40+,,21.20,22.51,26.74,20.73,19.44,19.44,21.48,https://www.facebook.com/520891933/videos/5025433940813189,
Huy Nguyen,40+,2019NGUY29,22.71,26.88,21.11,22.61,23.28,21.11,22.87,https://www.facebook.com/events/992549044856331/permalink/997085994402636,
Lisa Kucala,50+,2019KUCA01,28.13,25.23,27.55,29.54,24.94,24.94,26.97,https://www.facebook.com/events/992549044856331/permalink/999826050795297,
Daniel Smith,50+,2018SMIT42,25.35,27.05,27.18,34.45,31.92,25.35,28.72,https://www.facebook.com/events/992549044856331/permalink/1001855843925651,
Kerry Go,50+,2019GOKE01,28.81,21.16,36.38,32.16,27.94,21.16,29.64,https://www.facebook.com/events/992549044856331/permalink/1002028037241765,
Chris Thames,<40,2019THAM05,29.76,29.61,29.16,30.04,31.70,29.16,29.80,https://www.facebook.com/events/992549044856331/permalink/1001855333925702,
Mickey Doyle,40+,,31.19,46.17,28.14,31.49,33.76,28.14,32.15,https://www.facebook.com/events/992549044856331/permalink/1001316023979633,
