Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,1:50.83,1:50.07,1:41.09,1:48.79,1:53.18,1:41.09,1:49.90,https://www.facebook.com/events/1108693076205590/permalink/1117066692034895,
Pete Lee,<40,2018LEEP04,1:59.29,2:05.04,1:46.55,1:58.75,1:57.58,1:46.55,1:58.54,https://www.facebook.com/events/1108693076205590/permalink/1117606681980896,
Geoff Hartnell,40+,2017HART06,2:00.18,2:00.94,2:12.79,2:04.06,1:57.58,1:57.58,2:01.73,https://www.facebook.com/events/1108693076205590/permalink/1116396088768622,
JM Tambaoan,40+,,2:54.36,2:55.88,3:06.34,DNS,DNS,2:54.36,2:58.86,https://www.facebook.com/events/1108693076205590/permalink/1117524825322415,
Kerry Go,50+,2019GOKE01,4:01.93,3:34.38,3:12.52,DNS,DNS,3:12.52,3:36.28,https://www.facebook.com/events/1108693076205590/permalink/1117856041955960,
