Name,Age,WCA ID,Solve 1 13,Solve 2 13,Solve 3 13,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,29,25,26,25,26.67,https://www.facebook.com/events/1995419141365199/permalink/1998895547684225,
Shen Flindell,50+,2023FLIN02,30,32,35,30,32.33,https://www.facebook.com/events/1995419141365199/permalink/2004454547128325,
Richard Taylor,50+,2015TAYL04,37,DNF,37,37,DNF,https://www.facebook.com/events/1995419141365199/permalink/2004916593748787,
