Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Lisa Kucala,60+,2019KUCA01,8.89,8.75,11.61,10.62,DNF,8.75,10.37,https://www.facebook.com/events/978028041063147/permalink/987948056737812,
Joe Kucala,60+,2022KUCA01,12.98,11.22,13.27,14.93,13.71,11.22,13.32,https://www.facebook.com/events/978028041063147/permalink/985775336955084,
