Name,Age,WCA ID,Solve 1 6,Solve 2 6,Solve 3 6,Best,Average,Link,Comment
Glyn Brown,40+,2023BROW47,3:49.22,3:39.39,3:37.24,3:37.24,3:41.95,https://www.facebook.com/events/1255580326038989/permalink/1258072539123101,
Shen Flindell,50+,2023FLIN02,4:42.50,4:04.04,4:13.23,4:04.04,4:19.92,https://www.facebook.com/events/1255580326038989/permalink/1262223192041369,
Daniel Houghton,40+,2016HOUG03,4:21.60,4:38.17,4:37.69,4:21.60,4:32.49,https://www.facebook.com/events/1255580326038989/permalink/1263291778601177,
