Name,Age,WCA ID,Solve 1 10,Solve 2 10,Solve 3 10,Solve 4 8,Solve 5 8,Best,Average,Link,Comment
Enrymar Cisneros,40+,2013CISN01,6.58,6.81,6.46,10.96,9.95,6.46,7.78,https://www.facebook.com/events/1935597367318690/permalink/1946865636191863,
Lisa Kucala,60+,2019KUCA01,9.46,8.16,9.60,9.22,10.06,8.16,9.43,https://www.facebook.com/events/1935597367318690/permalink/1946802209531539,
Shen Flindell,50+,2023FLIN02,8.70,17.51,23.30,13.79,14.72,8.70,15.34,https://www.facebook.com/events/1935597367318690/permalink/1946161359595624,
