Name,Age,Best,Mo3,Solve 1,Solve 2,Solve 3,Link,Comment
Jae Park,40+,20:22.93,DNF,20:22.93,DNF,DNF,https://www.facebook.com/events/1531820936993798/permalink/1532726963569862/,
Andy Nicholls,40+,DNF,DNF,DNF,DNF,DNF,https://www.facebook.com/events/1531820936993798/permalink/1532250886950803/,
Chris Hardwick,<40,DNF,DNF,DNF,DNS,DNS,https://www.facebook.com/events/1531820936993798/permalink/1532463213596237/,
