Name,Age,Best,Average,Solve 1,Solve 2,Solve 3,Link,Comment
Zain Ali,<20,5:52.90,DNF,DNF,5:52.90,DNS,https://www.facebook.com/events/1531820936993798?view=permalink&id=1535234259985799,
Chris Hardwick,<40,6:27.16,DNF,11:02.00,6:27.16,DNS,https://www.facebook.com/events/1531820936993798?view=permalink&id=1532454540263771,
Jae Park,40+,7:13.60,DNF,DNF,7:13.60,DNF,https://www.facebook.com/events/1531820936993798?view=permalink&id=1533623833480175,
Andy Nicholls,40+,10:55.81,DNF,DNF,13:21.12,10:55.81,https://www.facebook.com/events/1531820936993798?view=permalink&id=1535542499954975,
Peter Andersson,50+,DNF,DNF,DNF,DNF,DNF,https://www.facebook.com/events/1531820936993798?view=permalink&id=1534558006720091,
