Name,Age,Average,Best,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Link,Comment
Jonathan Charlesworth,<20,10.26,9.13,9.65,10.65,11.81,9.13,10.48,https://www.facebook.com/events/688407551989463/permalink/690761785087373/,2016CHAR01
Michael George,40+,15.84,14.63,14.97,27.81,14.89,14.63,17.65,https://www.facebook.com/events/688407551989463/permalink/691884088308476/,
Jeremy Duehring,40+,16.89,16.37,17.10,18.50,16.57,16.99,16.37,https://www.facebook.com/events/688407551989463/permalink/692481941582024/,
Ed Connell,<40,17.43,15.18,15.18,18.36,17.98,15.95,18.95,https://www.facebook.com/events/688407551989463/permalink/691154921714726/,
Geoff Hartnell,40+,18.65,15.01,15.01,22.00,17.16,21.93,16.85,https://www.facebook.com/events/637852836799991/permalink/639657566619518/,
Andy Nicholls,40+,18.91,18.06,18.96,19.44,18.06,18.32,23.79,https://www.facebook.com/events/688407551989463/permalink/690038688493016/,
Aaron Cumes,40+,19.08,16.01,20.04,17.99,19.21,16.01,20.08,https://www.facebook.com/events/688407551989463/permalink/688492338647651/,
Pete Lee,<40,19.11,16.32,16.32,18.94,18.58,26.85,19.82,https://www.facebook.com/events/688407551989463/permalink/691224458374439/,
Go-ho Choi,<40,19.39,17.53,20.25,19.84,17.53,21.48,18.09,https://www.facebook.com/events/688407551989463/permalink/692471158249769/,Roux method
Peter Andersson,50+,25.03,22.81,24.46,25.46,25.16,33.28,22.81,https://www.facebook.com/events/688407551989463/permalink/689726021857616/,
Anthony Rochester,40+,28.47,25.94,46.92,25.94,26.30,31.01,28.10,https://www.facebook.com/events/688407551989463/permalink/690191521811066/,
Daniel Smith,50+,28.85,22.27,29.73,27.85,28.98,22.27,29.71,https://www.facebook.com/events/688407551989463/permalink/692476188249266/,
Lisa Kucala,50+,29.58,28.23,28.23,33.74,30.21,29.87,28.65,https://www.facebook.com/events/688407551989463/permalink/691372318359653/,
Mark Charlesworth,40+,30.02,28.15,32.16,29.10,35.98,28.15,28.81,https://www.facebook.com/events/688407551989463/permalink/690761785087373/,
Joffie Berkowitz,50+,30.05,27.89,27.89,29.52,31.34,29.29,34.89,https://www.facebook.com/events/688407551989463/permalink/692740708222814/,
Timothy Salay,40+,31.57,30.42,30.82,30.59,30.42,33.46,33.30,https://www.facebook.com/BigTSpot/videos/10216079953102851/,
Chris Thames,<40,33.09,30.50,34.29,33.64,38.59,30.50,31.35,https://www.facebook.com/events/688407551989463/permalink/690336398463245/,
Joshua Riegel,<30,35.59,31.50,37.97,34.46,31.50,34.33,43.37,https://www.facebook.com/events/688407551989463/permalink/691824934981058/,
Jan Adams-Fielding,40+,35.86,26.02,35.95,43.09,36.64,26.02,35.00,https://www.facebook.com/events/688407551989463/permalink/692746381555580/,
Donna Leiber,60+,59.90,52.97,1:05.28,52.97,1:09.73,54.84,59.57,https://www.facebook.com/events/688407551989463/permalink/690851241745094/,
