Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Fumiki Koseki,40+,2005KOSE01,4:44.65,4:55.32,4:13.56,4:13.56,4:37.84,https://www.facebook.com/events/2766581680255939/permalink/2772746382972802,
Konsta Jukka,40+,2008JUKK01,6:11.01,5:14.69,5:44.62,5:14.69,5:43.44,https://www.facebook.com/events/2766581680255939/permalink/2770168873230553,
Pete Lee,<40,2018LEEP04,6:40.47,6:46.59,DNS,6:40.47,DNF,https://www.facebook.com/events/2766581680255939/permalink/2767374376843336,
