Name,Age,WCA ID,Solve 1 13,Solve 2 13,Solve 3 13,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,26,28,27,26,27.00,https://www.facebook.com/events/1322130633433943/permalink/1329360282710978,
Marius Rombout Ferreira van Riemsdijk,50+,2014RIEM01,33,34,30,30,32.33,https://www.facebook.com/events/1322130633433943/permalink/1325355833111423,
Shen Flindell,50+,2023FLIN02,36,36,29,29,33.67,https://www.facebook.com/events/1322130633433943/permalink/1329455176034822,
Danielle Kay,40+,2023KAYD01,48,58,41,41,49.00,https://www.facebook.com/events/1322130633433943/permalink/1331447215835618,
