Name,Age,WCA ID,Solve 1 6,Solve 2 6,Solve 3 6,Best,Average,Link,Comment
Glyn Brown,40+,2023BROW47,3:47.80,3:59.72,3:54.95,3:47.80,3:54.16,https://www.facebook.com/events/1215939800337613/permalink/1218621996736060,
Daniel Houghton,40+,2016HOUG03,4:31.90,4:07.88,4:37.55,4:07.88,4:25.78,https://www.facebook.com/events/1215939800337613/permalink/1220685879863005,
Shen Flindell,50+,2023FLIN02,4:29.06,4:30.63,4:41.34,4:29.06,4:33.68,https://www.facebook.com/events/1215939800337613/permalink/1218930523371874,
