Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,11.44,12.38,14.31,14.83,11.93,11.44,12.88,https://www.facebook.com/events/558832345492635/permalink/562741118435091,
Enrymar Cisneros,<40,2013CISN01,12.90,14.37,13.70,16.13,16.80,12.90,14.73,https://www.facebook.com/events/558832345492635/permalink/566749678034235,
Ed Connell,<40,2018CONN04,15.82,16.44,16.83,15.04,13.70,13.70,15.77,https://www.facebook.com/events/558832345492635/permalink/562602868448916,
Toby Chamberlain,40+,,22.32,18.20,20.96,24.11,20.16,18.20,21.15,https://www.facebook.com/520891933/videos/1195762644563407,
Chris Looney,<40,,25.02,20.56,19.71,23.04,20.80,19.71,21.47,https://www.facebook.com/chris.looney/videos/719263949262190,
Pete Lee,<40,2018LEEP04,24.57,18.34,23.04,15.65,35.65,15.65,21.98,https://www.facebook.com/events/558832345492635/permalink/563146771727859,
JM Tambaoan,40+,,21.31,19.53,27.30,19.56,28.21,19.53,22.72,https://www.facebook.com/events/558832345492635/permalink/565890901453446,
Dan Smith,50+,2018SMIT42,29.87,31.41,27.25,28.99,28.81,27.25,29.22,https://www.facebook.com/events/558832345492635/permalink/562722535103616,
Mickey Doyle,40+,2021DOYL02,40.01,26.09,32.62,31.00,36.40,26.09,33.34,https://www.facebook.com/events/558832345492635/permalink/566666218042581,
Eric Dodson,40+,2021DODS01,37.66,32.84,39.78,28.83,59.87,28.83,36.76,https://www.facebook.com/events/558832345492635/permalink/566857958023407,
