Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Chris Looney,<40,2022LOON02,4.39,2.11,7.35,7.21,6.08,2.11,5.89,https://www.facebook.com/chris.looney/videos/827996355068679,
Daniel Houghton,40+,2016HOUG03,7.74,6.44,8.85,6.45,4.96,4.96,6.88,https://www.facebook.com/events/536496438309051/permalink/545852090706819,
Dan Smith,50+,2018SMIT42,7.69,8.93,9.28,8.64,7.78,7.69,8.45,https://www.facebook.com/events/536496438309051/permalink/540049357953759,
Yi-Wei Chen,40+,,6.81,7.93,10.21,7.50,11.84,6.81,8.55,https://www.facebook.com/events/536496438309051/permalink/539680707990624,
Mickey Doyle,40+,2021DOYL02,4.15,10.64,10.18,7.43,17.05,4.15,9.42,https://www.facebook.com/events/536496438309051/permalink/540844597874235,
Mark Cordell,40+,2022CORD03,15.29,8.20,10.10,14.95,11.01,8.20,12.02,https://www.facebook.com/events/536496438309051/permalink/546260157332679,
