Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Chris Looney,<40,2022LOON02,15.95,13.98,15.81,14.76,19.30,13.98,15.51,https://www.facebook.com/chris.looney/videos/761683932076687,
Daniel Houghton,40+,2016HOUG03,15.96,16.88,16.46,15.47,13.27,13.27,15.96,https://www.facebook.com/events/943848890264789/permalink/949373283045683,
Ed Connell,<40,2018CONN04,17.66,20.16,17.06,17.41,22.96,17.06,18.41,https://www.facebook.com/events/943848890264789/permalink/951518012831210,
JM Tambaoan,40+,,14.74,20.56,18.20,17.61,26.16,14.74,18.78,https://www.facebook.com/events/943848890264789/permalink/949393043043707,PB single
Toby Chamberlain,50+,2022CHAM03,19.12,18.47,17.66,19.51,22.24,17.66,19.03,https://www.facebook.com/events/943848890264789/permalink/949966116319733,
Yi-Wei Chen,40+,2020CHEN34,19.94,15.58,19.40,19.24,18.97,15.58,19.20,https://www.facebook.com/events/943848890264789/permalink/945354260114252,
Dan Smith,50+,2018SMIT42,19.81,24.14,26.67,26.27,25.57,19.81,25.33,https://www.facebook.com/events/751816416413742/permalink/766104888318228,
Richard Whitehead,40+,2023WHIT15,23.16,36.59,25.62,29.37,24.48,23.16,26.49,https://www.facebook.com/sleekrichie/videos/3703167596667530,
Lisa Kucala,50+,2019KUCA01,31.54,27.59,27.32,24.86,25.71,24.86,26.87,https://www.facebook.com/events/943848890264789/permalink/948866056429739,
Mickey Doyle,40+,2021DOYL02,28.38,30.36,26.22,30.47,23.68,23.68,28.32,https://www.facebook.com/events/943848890264789/permalink/951101769539501,
Joe Kucala,50+,2022KUCA01,1:37.30,1:33.59,1:19.83,1:08.76,56.87,56.87,1:20.73,https://www.facebook.com/events/943848890264789/permalink/945986663384345,
