Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Pete Lee,40+,2018LEEP04,1:16.30,1:12.66,1:28.82,1:54.39,1:18.94,1:12.66,1:21.35,https://www.facebook.com/events/947256517415436/permalink/952401213567633,
Fred Johnson,<40,2006JOHN01,2:05.42,2:09.02,1:56.49,1:56.46,1:48.41,1:48.41,1:59.46,https://www.facebook.com/frederick.g.johnson/videos/1353504892391062,
Shen Flindell,50+,2023FLIN02,2:38.28,2:56.54,3:13.80,DNS,DNS,2:38.28,2:56.21,https://www.facebook.com/events/947256517415436/permalink/955524426588645,
Lisa Kucala,60+,2019KUCA01,3:09.96,2:52.87,2:53.64,DNS,DNS,2:52.87,2:58.82,https://www.facebook.com/events/947256517415436/permalink/955335903274164,
