Name,Age,WCA ID,Attempted,Solved,Time,Link,Comment
Shen Flindell,50+,2023FLIN02,10,6,56:28,https://www.facebook.com/events/1930079484462571/permalink/1934876223982897,
Toby Chamberlain,50+,2022CHAM03,9,2,45:34,https://www.facebook.com/events/1930079484462571/permalink/1938787586925094,
