Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Fumiki Koseki,40+,2005KOSE01,54.87,50.75,59.17,56.28,54.87,50.75,55.34,https://www.facebook.com/events/342884623427933/permalink/347488436300885,
Shawn Boucké,<40,2016BOUC01,58.15,53.30,1:00.98,1:10.37,53.18,53.18,57.48,https://www.facebook.com/events/987180995036806/permalink/994629924291913,
Chris Wright,50+,2011WRIG01,58.95,1:02.41,51.64,57.03,1:04.09,51.64,59.46,https://www.facebook.com/events/342884623427933/permalink/343335853382810,
Enrymar Cisneros,<40,2013CISN01,1:07.42,56.04,59.35,1:12.46,51.99,51.99,1:00.94,https://www.facebook.com/events/342884623427933/permalink/347790779603984,
Konsta Jukka,40+,,1:06.32,1:00.67,1:01.58,1:08.70,1:06.08,1:00.67,1:04.66,https://www.facebook.com/events/342884623427933/permalink/345566423159753,
Pete Lee,<40,2018LEEP04,1:06.69,59.32,1:01.63,1:07.92,1:14.59,59.32,1:05.41,https://www.facebook.com/events/342884623427933/permalink/346254989757563,
Ed Connell,<40,2018CONN04,1:01.32,1:03.29,1:27.41,1:21.58,1:09.07,1:01.32,1:11.31,https://www.facebook.com/events/342884623427933/permalink/346076193108776,
Daniel Smith,50+,2018SMIT42,1:21.60,1:21.70,1:12.95,1:43.77,1:33.11,1:12.95,1:25.47,https://www.facebook.com/events/655903882008117/permalink/656010341997471,
Joshua Riegel,<30,2019RIEG02,1:50.47,1:54.94,1:41.05,DNS,DNS,1:41.05,1:48.82,https://www.facebook.com/events/342884623427933/permalink/347421749640887,
Jan Adams-Fielding,40+,,2:05.52,1:48.16,1:39.24,DNS,DNS,1:39.24,1:50.97,https://www.facebook.com/events/342884623427933/permalink/347055329677529,
Yi-Wei Chen,40+,,1:55.14,1:55.24,1:46.06,DNS,DNS,1:46.06,1:52.15,https://www.facebook.com/events/342884623427933/permalink/345634483152947,
Adam Robson,<40,,2:45.40,DNF,DNS,DNS,DNS,2:45.40,DNF,https://www.facebook.com/100005428097972/videos/1462583707265885,😭😭😭
