Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Fumiki Koseki,40+,2005KOSE01,3:06.62,3:04.79,3:19.54,3:04.79,3:10.32,https://www.facebook.com/events/342884623427933/permalink/344014803314915,
Konsta Jukka,40+,,3:58.16,3:38.59,4:00.67,3:38.59,3:52.47,https://www.facebook.com/events/342884623427933/permalink/345575156492213,
Pete Lee,<40,2018LEEP04,4:26.41,5:02.61,4:31.67,4:26.41,4:40.23,https://www.facebook.com/events/342884623427933/permalink/344242483292147,
Adam Robson,<40,,9:15.97,DNS,DNS,9:15.97,DNF,https://www.facebook.com/100005428097972/videos/1462603357263920,
