Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Fumiki Koseki,40+,2005KOSE01,1:50.31,1:51.54,1:43.11,1:46.42,1:40.31,1:40.31,1:46.61,https://www.facebook.com/events/342884623427933/permalink/347488056300923,
Chris Wright,50+,2011WRIG01,1:49.53,1:48.84,1:52.65,1:51.60,1:58.51,1:48.84,1:51.26,https://www.facebook.com/christopher.wright.94617999/videos/10157628414222874,
Enrymar Cisneros,<40,2013CISN01,1:48.36,1:59.94,1:50.39,1:59.96,1:52.36,1:48.36,1:54.23,https://www.facebook.com/events/342884623427933/permalink/347803332936062,
Chris Hardwick,<40,2003HARD01,2:33.51,2:37.33,2:13.69,2:08.13,2:02.01,2:02.01,2:18.44,https://www.facebook.com/events/342884623427933/permalink/347714566278272,First 5x5x5 session in at least 8 weeks
Pete Lee,<40,2018LEEP04,2:31.28,2:07.04,2:35.14,2:18.58,2:22.51,2:07.04,2:24.12,https://www.facebook.com/events/342884623427933/permalink/344865739896488,
Ed Connell,<40,2018CONN04,2:20.49,2:23.72,2:28.32,2:54.58,2:40.53,2:20.49,2:30.86,https://www.facebook.com/events/342884623427933/permalink/346075856442143,
Daniel Smith,50+,2018SMIT42,2:59.56,2:53.90,2:50.38,DNS,DNS,2:50.38,2:54.61,https://www.facebook.com/events/655903882008117/permalink/656010341997471,
Yi-Wei Chen,40+,,3:07.94,3:00.07,3:14.69,DNS,DNS,3:00.07,3:07.57,https://www.facebook.com/events/342884623427933/permalink/346613599721702,
Joshua Riegel,<30,2019RIEG02,3:50.69,3:43.18,3:19.73,DNS,DNS,3:19.73,3:37.87,https://www.facebook.com/events/342884623427933/permalink/347441876305541,
Adam Robson,<40,,3:48.19,DNF,DNS,DNS,DNS,3:48.19,DNF,https://www.facebook.com/100005428097972/videos/1462587227265533,
