Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,52.49,55.89,56.72,48.89,48.00,48.00,52.42,https://www.facebook.com/events/158701836186375/permalink/166938658696026,
Enrymar Cisneros,<40,2013CISN01,54.59,50.81,57.96,53.34,56.27,50.81,54.73,https://www.facebook.com/events/158701836186375/permalink/164234318966460,
Daniel Houghton,40+,2016HOUG03,57.83,53.07,1:13.04,1:08.10,1:10.79,53.07,1:05.57,https://www.facebook.com/events/158701836186375/permalink/162581779131714,
Geoff Hartnell,40+,2017HART06,1:06.56,1:07.21,1:06.38,1:16.70,1:05.76,1:05.76,1:06.72,https://www.facebook.com/events/158701836186375/permalink/161641622559063,
Pete Lee,<40,2018LEEP04,1:05.96,1:11.23,1:11.94,1:11.27,1:13.94,1:05.96,1:11.48,https://www.facebook.com/events/158701836186375/permalink/166337698756122,
Ed Connell,<40,2018CONN04,1:10.15,1:12.71,1:10.84,1:30.98,1:16.20,1:10.15,1:13.25,https://www.facebook.com/events/158701836186375/permalink/162757435780815,
Yi-Wei Chen,40+,2020CHEN34,1:18.15,1:23.27,1:17.91,1:21.66,1:01.81,1:01.81,1:19.24,https://www.facebook.com/events/158701836186375/permalink/161856789204213,
Daniel Smith,50+,2018SMIT42,1:31.03,1:20.21,1:19.83,1:18.55,1:31.76,1:18.55,1:23.69,https://www.facebook.com/events/158701836186375/permalink/167195022003723,
JM Tambaoan,40+,,1:28.24,1:27.59,1:50.68,1:24.14,1:25.56,1:24.14,1:27.13,https://www.facebook.com/events/158701836186375/permalink/163773142345911,
Chris Thames,<40,2019THAM05,2:11.44,2:05.48,2:03.44,DNS,DNS,2:03.44,2:06.79,https://www.facebook.com/events/158701836186375/permalink/166481532075072,
Jae Park,50+,2015PARK24,2:20.24,2:06.48,2:50.48,DNS,DNS,2:06.48,2:25.73,https://www.facebook.com/events/158701836186375/permalink/165429115513647,
