Name,Age,Average,Best,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Link,Comment
Go-ho Choi,<40,49.27,42.39,57.55,46.23,50.36,42.39,51.23,https://www.facebook.com/events/269276700734640/permalink/272981440364166/,
Shawn Boucké,<40,52.54,49.54,54.12,1:05.30,53.07,49.54,50.42,https://www.facebook.com/events/269276700734640/permalink/272043817124595/,
Ciro Vignotto,50+,1:04.62,57.85,58.58,1:11.21,57.85,1:08.43,1:06.85,https://www.facebook.com/events/269276700734640/permalink/269492624046381/,
Jeremy Duehring,40+,1:08.96,1:03.38,1:14.53,1:07.09,1:06.57,1:03.38,1:13.21,https://www.facebook.com/events/269276700734640/permalink/273187487010228/,
Geoff Hartnell,40+,1:14.08,1:05.41,1:16.11,1:13.25,1:20.44,1:12.88,1:05.41,https://www.facebook.com/events/269276700734640/permalink/271479200514390/,
Ed Connell,<40,1:17.46,1:07.98,1:14.32,1:16.85,1:21.20,1:07.98,1:30.00,https://www.facebook.com/events/269276700734640/permalink/270625277266449/,
Thierry Boisivon,40+,1:21.31,1:19.27,1:21.83,1:21.25,1:19.27,1:20.86,1:26.33,https://www.facebook.com/events/269276700734640/permalink/271465083849135/,
Aaron Cumes,40+,1:23.73,1:07.79,1:28.71,1:28.04,1:36.52,1:07.79,1:14.44,https://www.facebook.com/events/269276700734640/permalink/269372137391763/,
Daniel Smith,50+,1:29.25,1:17.92,1:31.40,1:17.92,1:22.26,1:34.10,1:35.71,https://www.facebook.com/events/269276700734640/permalink/272645773731066/,
Pete Lee,<40,1:29.38,1:19.90,1:30.98,1:19.90,1:31.94,1:25.23,1:40.56,https://www.facebook.com/events/269276700734640/permalink/271454090516901/,
Peter Douthwright,50+,2:42.21,2:20.53,2:38.56,2:20.53,3:07.54,DNS,DNS,https://www.facebook.com/events/269276700734640/permalink/273111433684500/,
Jae Park,40+,2:49.02,2:27.62,2:48.83,2:27.62,2:59.73,2:54.48,2:43.75,https://www.facebook.com/events/269276700734640/permalink/269762840686026/,
Jo Cocco,40+,3:24.75,2:55.79,2:55.79,3:04.17,4:14.30,DNS,DNS,https://www.facebook.com/events/269276700734640/permalink/271293767199600/,
