Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,53.90,53.64,1:01.58,1:00.01,1:01.28,53.64,58.40,https://www.facebook.com/events/443186990742814/permalink/445502257177954,
Chris Looney,<40,2022LOON02,1:13.88,1:16.12,1:07.84,1:04.86,1:09.74,1:04.86,1:10.49,https://www.facebook.com/chris.looney/videos/720136379078206,
Dan Smith,50+,2018SMIT42,1:25.49,1:24.87,1:49.97,1:13.58,1:24.48,1:13.58,1:24.95,https://www.facebook.com/events/443186990742814/permalink/451543449907168,
Mickey Doyle,40+,2021DOYL02,1:25.28,1:36.64,1:48.15,1:33.48,1:46.00,1:25.28,1:38.71,https://www.facebook.com/events/443186990742814/permalink/451136806614499,
