Name,Age,WCA ID,Attempted,Solved,Time,Link,Comment
Shen Flindell,50+,2023FLIN02,10,10,50:16,https://www.facebook.com/events/2034621967348093/permalink/2041232333353723,
Toby Chamberlain,50+,2022CHAM03,9,8,43:24,https://www.facebook.com/events/2034621967348093/permalink/2041325380011085,
