Name,Age,WCA ID,Solve 1 10,Solve 2 10,Solve 3 10,Solve 4 8,Solve 5 8,Best,Average,Link,Comment
Danielle Kay,40+,2023KAYD01,8.54,9.35,6.30,8.20,9.43,6.30,8.69,https://www.facebook.com/events/2004459553776098/permalink/2007344043487649,
Shen Flindell,50+,2023FLIN02,10.69,9.01,16.74,9.80,12.86,9.01,11.12,https://www.facebook.com/events/2004459553776098/permalink/2007031953518858,
