Name,Age,WCA ID,Solve 1 13,Solve 2 13,Solve 3 13,Best,Average,Link,Comment
Kristina Lim,50+,2022LIMK02,35,DNS,DNS,35,DNF,https://www.facebook.com/events/856123937143434/permalink/866816599407501,
Shen Flindell,50+,2023FLIN02,37,35,DNF,35,DNF,https://www.facebook.com/events/856123937143434/permalink/864142076341620,
