Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,14.65,12.02,DNF,15.43,12.50,12.02,14.19,https://www.facebook.com/events/286026952942446/permalink/288712906007184,
Enrymar Cisneros,<40,2013CISN01,12.99,14.52,14.84,16.16,14.71,12.99,14.69,https://www.facebook.com/events/286026952942446/permalink/294504945427980,
Ed Connell,<40,2018CONN04,19.51,15.91,17.24,15.49,14.42,14.42,16.21,https://www.facebook.com/events/286026952942446/permalink/292916068920201,
Geoff Hartnell,40+,2017HART06,17.71,16.22,18.58,17.67,21.63,16.22,17.99,https://www.facebook.com/events/286026952942446/permalink/294194355459039,
Pete Lee,<40,2018LEEP04,17.45,17.63,21.80,18.86,20.19,17.45,18.89,https://www.facebook.com/events/286026952942446/permalink/291670102378131,
Vani Muthukrishnan,40+,2016MUTH05,22.64,20.53,19.25,22.75,20.09,19.25,21.09,https://www.facebook.com/events/286026952942446/permalink/288955459316262,
Aaron Cumes,40+,2018CUME02,24.18,18.82,20.12,23.86,20.41,18.82,21.46,https://www.facebook.com/events/286026952942446/permalink/287180049493803,
JM Tambaoan,40+,,18.31,20.05,25.84,21.29,26.60,18.31,22.39,https://www.facebook.com/siopao.special/videos/10208666072085741,
Lisa Kucala,50+,2019KUCA01,25.45,25.66,29.72,25.10,22.66,22.66,25.40,https://www.facebook.com/events/286026952942446/permalink/294391792105962,
Stanley Watt,40+,,24.09,24.90,27.93,22.03,29.98,22.03,25.64,https://www.facebook.com/742360944/videos/10158239765460945,Mistakenly thought I did the last scramble wrong and rescrambled on a different cube. Lookahead wasn't my best. I'm happy with having participated :)
Huy Nguyen,40+,2019NGUY29,24.19,33.34,24.49,30.32,33.76,24.19,29.38,https://www.facebook.com/events/286026952942446/permalink/287475479464260,
Daniel Smith,50+,2018SMIT42,31.48,33.88,34.95,34.13,23.11,23.11,33.16,https://www.facebook.com/events/286026952942446/permalink/294539528757855,
