Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Alex Friedman,<40,2016FRIE06,21.69,23.81,23.48,19.20,24.43,19.20,22.99,https://www.facebook.com/events/679860472562391?view=permalink&id=682468332301605,
Michael George,40+,2015GEOR02,25.21,23.63,22.96,26.01,29.16,22.96,24.95,https://www.facebook.com/events/679860472562391?view=permalink&id=683720632176375,
Thierry Boisivon,40+,2011BOIS01,31.83,40.95,30.57,37.20,33.04,30.57,34.02,https://www.facebook.com/events/679860472562391?view=permalink&id=683361455545626,
Geoff Hartnell,40+,2017HART06,33.66,35.36,28.72,36.75,44.85,28.72,35.26,https://www.facebook.com/events/679860472562391?view=permalink&id=682401835641588,
Ed Connell,<40,2018CONN04,31.27,41.00,37.33,28.08,50.80,28.08,36.53,https://www.facebook.com/events/679860472562391?view=permalink&id=682340925647679,Very messy avg
Huy Nguyen,40+,2019NGUY29,47.18,44.63,48.42,36.23,42.93,36.23,44.91,https://www.facebook.com/events/679860472562391?view=permalink&id=683463182202120,
Andy Nicholls,40+,2015NICH04,38.33,1:00.02,58.22,42.26,44.40,38.33,48.29,https://www.facebook.com/events/679860472562391?view=permalink&id=680642735817498,
Jason Green,40+,2016GREE02,1:03.26,52.54,1:27.48,DNS,DNS,52.54,1:07.76,https://www.facebook.com/events/679860472562391?view=permalink&id=683377062210732,
Aaron Cumes,40+,2018CUME02,1:11.14,2:11.39,1:12.73,DNS,DNS,1:11.14,1:31.75,https://www.facebook.com/events/679860472562391?view=permalink&id=680113059203799,PB single amd mo3 ⚡⚡⚡🔥🔥🔥
Chris Thames,<40,2019THAM05,1:56.77,1:29.05,1:27.65,DNS,DNS,1:27.65,1:37.82,https://www.facebook.com/events/679860472562391?view=permalink&id=681219155759856,Getting better lol
Joshua Riegel,<30,2019RIEG02,1:55.05,1:44.59,1:53.42,DNS,DNS,1:44.59,1:51.02,https://www.facebook.com/events/679860472562391?view=permalink&id=683525975529174,
