Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Michael George,40+,2015GEOR02,59.46,54.50,1:03.25,1:08.17,1:03.87,54.50,1:02.19,https://www.facebook.com/events/284746466306313/permalink/289817092465917/,Meh. I haven't practised 4x4x4 in weeks and made lots of mistakes.
Andy Nicholls,40+,2015NICH04,1:06.33,1:09.27,56.66,1:13.17,56.90,56.66,1:04.16,https://www.facebook.com/events/284746466306313/permalink/285751332872493/,
Pete Lee,<40,2018LEEP04,1:12.34,1:05.08,1:04.74,1:06.23,1:28.91,1:04.74,1:07.88,https://www.facebook.com/events/284746466306313/permalink/287495892698037/,
Geoff Hartnell,40+,2017HART06,1:05.98,1:20.05,1:29.29,1:03.45,1:00.77,1:00.77,1:09.83,https://www.facebook.com/events/284746466306313/permalink/287495806031379/,
Ed Connell,<40,2018CONN04,1:21.21,1:18.09,1:25.12,1:12.41,1:13.82,1:12.41,1:17.71,https://www.facebook.com/events/284746466306313/permalink/288099845970975/,
Daniel Smith,50+,2018SMIT42,1:21.68,1:32.91,1:18.49,1:25.28,1:18.60,1:18.49,1:21.85,https://www.facebook.com/events/284746466306313/permalink/289286089185684/,
Jason Green,40+,2016GREE02,1:27.85,1:16.33,1:28.03,1:23.57,1:19.33,1:16.33,1:23.58,https://www.facebook.com/events/284746466306313/permalink/289392965841663/,
Joshua Riegel,<30,2019RIEG02,1:24.50,1:29.31,1:44.64,1:28.34,2:14.71,1:24.50,1:34.10,https://www.facebook.com/events/284746466306313/permalink/287582532689373/,Last solve was sad lol
Jan Adams-Fielding,40+,,2:02.32,1:43.93,1:54.33,DNS,DNS,1:43.93,1:53.52,https://www.facebook.com/events/284746466306313/permalink/289182882529338/,
Chris Thames,<40,2019THAM05,2:08.79,2:00.71,1:57.94,DNS,DNS,1:57.94,2:02.48,https://www.facebook.com/events/284746466306313/permalink/286467722800854/,This session felt good
Jae Park,40+,2015PARK24,4:00.01,2:35.29,DNS,DNS,DNS,2:35.29,DNF,https://www.facebook.com/events/284746466306313/permalink/287832065997753/,Sighted BLD
