Name,Age,WCA ID,Solve 1 6,Solve 2 6,Solve 3 6,Best,Average,Link,Comment
Glyn Brown,40+,2023BROW47,3:54.34,3:44.89,3:37.88,3:37.88,3:45.70,https://www.facebook.com/events/890187273702223/permalink/892562600131357,
Shen Flindell,50+,2023FLIN02,4:23.07,4:38.05,4:08.43,4:08.43,4:23.18,https://www.facebook.com/events/890187273702223/permalink/891930790194538,
Fred Johnson,<40,2006JOHN01,4:44.69,5:10.14,4:29.46,4:29.46,4:48.10,https://www.facebook.com/frederick.g.johnson/videos/863442399822888,
Lisa Kucala,60+,2019KUCA01,7:53.91,8:08.24,DNS,7:53.91,DNF,https://www.facebook.com/events/890187273702223/permalink/898491752871775,
