Name,Age,WCA ID,Attempted,Solved,Time,Link,Comment
Shen Flindell,50+,2023FLIN02,12,12,56:58,https://www.facebook.com/events/1692240905081799/permalink/1698170734488816,
Stephen Burson,50+,2025BURS02,8,5,57:54,https://www.facebook.com/events/1692240905081799/permalink/1703692373936652,
Toby Chamberlain,50+,2022CHAM03,11,5,50:42,https://www.facebook.com/events/1692240905081799/permalink/1698166307822592,
