Name,Age,WCA ID,Solve 1 14,Solve 2 14,Solve 3 14,Solve 4 11,Solve 5 11,Best,Average,Link,Comment
Shen Flindell,50+,2023FLIN02,2:08.31,1:52.61,DNF,1:22.81,1:30.67,1:22.81,1:50.53,https://www.facebook.com/events/1692240905081799/permalink/1699020627737160,
Toby Chamberlain,50+,2022CHAM03,1:32.65,DNF,1:52.70,1:25.70,DNF,1:25.70,DNF,https://www.facebook.com/events/1692240905081799/permalink/1702373540735202,
Fred Johnson,<40,2006JOHN01,6:10.69,4:35.92,4:50.01,4:52.45,DNF,4:35.92,5:17.72,https://www.facebook.com/frederick.g.johnson/videos/4223580294547062,
