Name,Age,WCA ID,Solve 1 2,Solve 2 2,Solve 3 2,Solve 4 2,Solve 5 2,Best,Average,Link,Comment
Enrymar Cisneros,40+,2013CISN01,13.59,18.47,14.21,15.23,14.77,13.59,14.74,https://www.facebook.com/events/1243256814319232/permalink/1247058647272382,
Glyn Brown,40+,2023BROW47,16.39,24.09,15.60,17.00,14.07,14.07,16.33,https://www.facebook.com/events/1243256814319232/permalink/1246138397364407,
Fred Johnson,<40,2006JOHN01,15.24,16.01,17.28,16.10,21.35,15.24,16.46,https://www.facebook.com/frederick.g.johnson/videos/1670563850775722,
Shen Flindell,50+,2023FLIN02,16.24,20.18,16.07,18.38,17.83,16.07,17.48,https://www.facebook.com/events/1243256814319232/permalink/1250441026934144,
Toby Chamberlain,50+,2022CHAM03,17.85,17.19,19.07,16.47,19.62,16.47,18.04,https://www.facebook.com/events/1243256814319232/permalink/1252928756685371,
Veronika Rose,40+,2024ROSE02,19.22,19.08,20.44,16.43,18.26,16.43,18.85,https://www.facebook.com/events/1243256814319232/permalink/1247674387210808,
Koen Heltzel,40+,2003HELT01,21.15,17.17,21.14,17.12,21.96,17.12,19.82,https://www.facebook.com/events/1243256814319232/permalink/1243914504253463,
Lisa Kucala,60+,2019KUCA01,22.57,25.42,18.55,23.52,25.11,18.55,23.73,https://www.facebook.com/events/1243256814319232/permalink/1251978266780420,
Josh Lewis,50+,,37.97,31.56,36.61,28.12,30.36,28.12,32.84,https://www.facebook.com/events/1243256814319232/permalink/1248690967109150,
Joe Kucala,60+,2022KUCA01,43.12,36.52,41.15,DNF,44.95,36.52,43.07,https://www.facebook.com/events/1243256814319232/permalink/1247865193858394,
