Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,1:31.57,1:31.58,1:36.29,1:28.95,1:20.81,1:20.81,1:30.70,https://www.facebook.com/events/937364477878870/permalink/948576103424374,
Glyn Brown,40+,2023BROW47,1:44.97,1:25.93,1:58.82,1:50.92,1:34.98,1:25.93,1:43.62,https://www.facebook.com/events/3564311457163699/permalink/3566790463582465,
Chris Wright,50+,2011WRIG01,1:43.30,1:48.91,1:41.22,1:46.86,1:49.86,1:41.22,1:46.36,https://www.facebook.com/events/3564311457163699/permalink/3567301443531367,
Pete Lee,40+,2018LEEP04,1:58.61,1:52.08,1:51.30,1:59.51,2:08.70,1:51.30,1:56.73,https://www.facebook.com/events/3564311457163699/permalink/3572279596366885,
JM Tambaoan,40+,2023TAMB01,2:26.94,2:22.39,2:37.69,2:56.63,2:32.40,2:22.39,2:32.34,https://www.facebook.com/events/3564311457163699/permalink/3572714049656773,
Dan Smith,50+,2018SMIT42,2:34.14,3:13.85,2:24.82,2:50.42,3:03.06,2:24.82,2:49.21,https://www.facebook.com/events/3564311457163699/permalink/3570189859909192,
Mickey Doyle,50+,2021DOYL02,2:54.70,2:46.32,2:52.76,DNS,DNS,2:46.32,2:51.26,https://www.facebook.com/events/3564311457163699/permalink/3573122962949215,
