Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Fumiki Koseki,40+,2005KOSE01,13.55,18.20,13.90,DNF,16.63,13.55,16.24,https://www.facebook.com/events/259430338941057/permalink/262921921925232,
Grzegorz Pacewicz,40+,,16.41,DNF,16.45,15.09,16.23,15.09,16.36,https://www.facebook.com/events/259430338941057/permalink/261711668712924,
Geoff Hartnell,40+,2017HART06,17.47,18.33,17.39,19.44,18.03,17.39,17.94,https://www.facebook.com/events/259430338941057/permalink/261570605393697,
Ed Connell,<40,2018CONN04,19.42,18.18,21.12,16.32,16.25,16.25,17.97,https://www.facebook.com/events/259430338941057/permalink/262667388617352,
Pete Lee,<40,2018LEEP04,20.23,20.79,17.77,19.75,16.29,16.29,19.25,https://www.facebook.com/events/259430338941057/permalink/262215545329203,
Anthony Rochester,40+,2019ROCH03,23.48,21.33,16.67,18.07,20.23,16.67,19.88,https://www.facebook.com/events/259430338941057/permalink/261829078701183,pb ao5
Yi-Wei Chen,40+,2020CHEN34,20.56,20.04,23.51,19.30,20.18,19.30,20.26,https://www.facebook.com/events/259430338941057/permalink/262124882004936,
Robert Summerfield,50+,,30.36,23.05,21.89,23.20,18.87,18.87,22.71,https://www.facebook.com/630726070/videos/10158706816216071,
Daniel Smith,50+,2018SMIT42,29.42,23.76,22.97,21.14,26.94,21.14,24.56,https://www.facebook.com/events/259430338941057/permalink/262561928627898,
Huy Nguyen,40+,2019NGUY29,22.55,23.41,25.57,29.65,32.77,22.55,26.21,https://www.facebook.com/events/259430338941057/permalink/260268832190541,
Chris Thames,<40,2019THAM05,25.89,29.28,26.20,32.56,59.01,25.89,29.35,https://www.facebook.com/events/259430338941057/permalink/262389515311806,
Lisa Kucala,50+,2019KUCA01,32.13,34.62,28.99,34.11,26.20,26.20,31.74,https://www.facebook.com/events/259430338941057/permalink/262341081983316,
Kerry Go,50+,2019GOKE01,31.05,36.52,48.31,31.13,36.91,31.05,34.85,https://www.facebook.com/events/259430338941057/permalink/262503878633703,
Jae Park,50+,2015PARK24,37.02,31.40,35.64,52.55,34.91,31.40,35.86,https://www.facebook.com/events/259430338941057/permalink/260484572168967,
Leo Arroyo,40+,,52.91,59.73,1:04.67,1:04.08,58.34,52.91,1:00.72,https://www.facebook.com/events/259430338941057/permalink/262362541981170,
