Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Fumiki Koseki,40+,2005KOSE01,59.72,58.91,49.96,56.85,59.03,49.96,58.26,https://www.facebook.com/events/801984480354340/permalink/805199883366133,
Grzegorz Pacewicz,40+,,1:00.81,1:03.39,1:10.17,1:07.15,1:07.01,1:00.81,1:05.85,https://www.facebook.com/events/259430338941057/permalink/261711668712924,
Geoff Hartnell,40+,2017HART06,1:05.71,50.44,1:10.25,1:05.37,1:11.09,50.44,1:07.11,https://www.facebook.com/events/801984480354340/permalink/803551883530933,
Pete Lee,<40,2018LEEP04,1:00.31,1:04.65,1:08.97,DNF,1:22.19,1:00.31,1:11.94,https://www.facebook.com/events/801984480354340/permalink/803477243538397,
Aaron Cumes,40+,2018CUME02,1:12.30,1:08.48,1:12.63,1:15.85,DNF,1:08.48,1:13.59,https://www.facebook.com/events/801984480354340/permalink/803363060216482,
Yi-Wei Chen,40+,2020CHEN34,1:07.63,1:10.25,1:19.54,1:25.92,1:25.78,1:07.63,1:18.52,https://www.facebook.com/events/801984480354340/permalink/804963500056438,
Daniel Smith,50+,2018SMIT42,1:27.13,1:17.64,1:18.42,1:29.68,1:31.74,1:17.64,1:25.08,https://www.facebook.com/events/801984480354340/permalink/804871646732290,
Chris Thames,<40,2019THAM05,1:55.23,2:03.54,1:40.13,DNS,DNS,1:40.13,1:52.97,https://www.facebook.com/events/801984480354340/permalink/804730436746411,
Kerry Go,50+,2019GOKE01,1:40.75,3:12.85,1:51.32,DNS,DNS,1:40.75,2:14.97,https://www.facebook.com/events/259430338941057/permalink/262507368633354,
Jae Park,50+,2015PARK24,2:24.95,2:44.47,2:15.67,DNS,DNS,2:15.67,2:28.36,https://www.facebook.com/events/801984480354340/permalink/802094683676653,
