Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Chris Looney,<40,2022LOON02,6.03,9.07,8.38,6.51,8.05,6.03,7.64,https://www.facebook.com/chris.looney/videos/775557433898050,
Dan Smith,50+,2018SMIT42,10.82,11.12,21.96,11.06,8.87,8.87,11.00,https://www.facebook.com/events/3239186643032731/permalink/3249715401979855,
Eric Dodson,40+,2021DODS01,15.41,10.57,13.58,10.85,9.62,9.62,11.67,https://www.facebook.com/events/3239186643032731/permalink/3250349311916464,
Mark Cordell,40+,2022CORD03,31.89,53.03,37.05,33.76,22.02,22.02,34.23,https://www.facebook.com/events/3239186643032731/permalink/3249854785299250,
