Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Chris Looney,<40,2022LOON02,9.13,8.60,7.13,6.00,9.68,6.00,8.29,https://www.facebook.com/chris.looney/videos/1324287871630057,
Dan Smith,50+,2018SMIT42,13.06,10.05,7.08,8.95,14.91,7.08,10.69,https://www.facebook.com/events/3552780501633678/permalink/3562219254023136,
Lisa Kucala,50+,2019KUCA01,11.28,11.41,13.27,10.53,10.59,10.53,11.09,https://www.facebook.com/events/3552780501633678/permalink/3561467984098263,
Mark Cordell,40+,2022CORD03,10.81,12.07,11.05,15.93,17.82,10.81,13.02,https://www.facebook.com/events/3552780501633678/permalink/3557429174502144,
Gordon Holey,40+,2021HOLE01,14.04,15.22,12.06,13.50,15.57,12.06,14.25,https://www.facebook.com/766997877/videos/1432795110851539,
Daniel Houghton,40+,2016HOUG03,14.14,20.81,10.34,14.98,17.53,10.34,15.55,https://www.facebook.com/events/3552780501633678/permalink/3559185937659801,
Joe Kucala,50+,2022KUCA01,30.34,16.39,14.32,19.39,15.03,14.32,16.94,https://www.facebook.com/events/3552780501633678/permalink/3559520537626341,
Michael Amarello,60+,2022AMAR09,20.83,18.17,14.41,25.88,15.51,14.41,18.17,https://www.facebook.com/events/3552780501633678/permalink/3556032887975106,
JM Tambaoan,40+,,30.37,18.73,16.59,17.92,18.66,16.59,18.44,https://www.facebook.com/events/3552780501633678/permalink/3557597531151975,
Mickey Doyle,40+,2021DOYL02,26.83,21.76,19.82,1:17.60,16.18,16.18,22.80,https://www.facebook.com/events/3552780501633678/permalink/3561707714074290,
