Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Daniel Houghton,40+,2016HOUG03,4:17.67,4:19.72,4:54.45,4:17.67,4:30.61,https://www.facebook.com/events/1374628593479428/permalink/1377461389862815,
Glyn Brown,40+,2023BROW47,4:42.56,5:06.73,5:53.92,4:42.56,5:14.40,https://www.facebook.com/events/1374628593479428/permalink/1380189439590010,
