Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Peter Andersson,60+,2013ANDE01,DNF,DNF,2:20.82,2:20.82,DNF,https://www.facebook.com/events/359802903179092/permalink/361650189661030,
Toby Chamberlain,50+,2022CHAM03,2:48.28,DNF,2:47.07,2:47.07,DNF,https://www.facebook.com/events/359802903179092/permalink/366713009154748,
Daniel Houghton,40+,2016HOUG03,2:50.64,DNF,DNF,2:50.64,DNF,https://www.facebook.com/events/359802903179092/permalink/362818886210827,
