Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Michael George,40+,2015GEOR02,1:00.85,58.20,1:06.86,58.00,57.07,57.07,59.02,https://www.facebook.com/events/256188575607890/permalink/257812302112184,
Andy Nicholls,40+,2015NICH04,1:02.44,1:04.21,1:05.61,1:00.04,1:08.29,1:00.04,1:04.09,https://www.facebook.com/events/256188575607890/permalink/258503442043070,
Jeremy Duehring,40+,2016DUEH02,59.87,1:05.68,1:16.10,1:05.52,1:03.03,59.87,1:04.75,https://www.facebook.com/jeremy.duehring/videos/10160146958702846,
Geoff Hartnell,40+,2017HART06,1:05.05,1:09.83,1:14.72,1:17.93,57.70,57.70,1:09.87,https://www.facebook.com/events/256188575607890/permalink/257661045460643,"Scrambles 3,4,5,E1,E2"
Pete Lee,<40,2018LEEP04,1:12.69,1:25.53,1:05.41,1:12.01,1:04.73,1:04.73,1:10.04,https://www.facebook.com/events/256188575607890/permalink/258410475385700,
Ed Connell,<40,2018CONN04,1:10.01,1:09.36,1:16.51,1:14.10,1:25.04,1:09.36,1:13.54,https://www.facebook.com/events/256188575607890/permalink/258972151996199,
Aaron Cumes,40+,2018CUME02,1:11.75,1:27.11,DNF,1:07.34,1:02.34,1:02.34,1:15.40,https://www.facebook.com/events/256188575607890/permalink/257120222181392,Pb single and AO5 ⚡🔥
Neilimixam Snetrem,<40,2018MERT01,1:24.15,1:18.04,1:32.05,1:08.70,2:15.84,1:08.70,1:24.75,https://www.facebook.com/events/256188575607890/permalink/257142405512507,
Daniel Smith,50+,2018SMIT42,1:12.01,1:44.45,2:05.62,1:19.71,1:25.47,1:12.01,1:29.88,https://www.facebook.com/events/256188575607890/permalink/260576965169051,
Jan Adams-Fielding,40+,,1:55.09,1:58.89,2:14.28,DNS,DNS,1:55.09,2:02.75,https://www.facebook.com/events/256188575607890/permalink/260407395186008,
Chris Thames,<40,2019THAM05,2:04.17,2:11.60,2:02.20,DNS,DNS,2:02.20,2:05.99,https://www.facebook.com/events/256188575607890/permalink/259049098655171,+2 on solve 2 I realized after I uploaded and entered results so I am re-entering my results to include the +2
