Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,12.25,13.43,12.72,13.91,14.15,12.25,13.35,https://www.facebook.com/events/1263750814207978/permalink/1274775896438803,
Daniel Houghton,40+,2016HOUG03,17.47,18.11,15.80,16.28,15.25,15.25,16.52,https://www.facebook.com/events/1541409726309933/permalink/1563232580794314,
Ed Connell,<40,2018CONN04,16.97,23.91,15.92,16.79,20.76,15.92,18.17,https://www.facebook.com/events/1263750814207978/permalink/1274621693120890,
Yi-Wei Chen,40+,,18.58,18.31,39.82,18.08,18.07,18.07,18.32,https://www.facebook.com/events/1263750814207978/permalink/1266150863967973,
Toby Chamberlain,40+,2022CHAM03,18.14,17.62,16.56,20.00,24.59,16.56,18.59,https://www.facebook.com/520891933/videos/1625456011228596,
Chris Looney,<40,2022LOON02,19.12,15.58,20.07,22.08,18.89,15.58,19.36,https://www.facebook.com/chris.looney/videos/857582122249635,
Mark Cordell,40+,2022CORD03,25.56,24.13,26.11,23.94,27.53,23.94,25.27,https://www.facebook.com/events/1263750814207978/permalink/1274018409847885,
Dan Smith,50+,2018SMIT42,27.92,32.07,25.33,25.85,28.62,25.33,27.46,https://www.facebook.com/events/1541409726309933/permalink/1562821384168767,
Mickey Doyle,40+,2021DOYL02,27.41,30.51,28.92,28.33,24.95,24.95,28.22,https://www.facebook.com/events/1263750814207978/permalink/1274055996510793,
Christopher Iglesias,<30,,32.38,28.59,33.65,32.92,31.84,28.59,32.38,https://www.facebook.com/events/1263750814207978/permalink/1271283480121378,
